Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Rating,Sypnosis
Plastic Memories,7.94,"Sci-Fi,Drama,Romance",TV,13,"Aniplex, Movic, AT-X, ASCII Media Works, Bushiroad, MAGES., Asahi Broadcasting, BS11",Doga Kobo,Original,24 min. per ep.,PG-13 - Teens 13 or older,"Eighteen-year-old Tsukasa Mizugaki has failed his college entrance exams, but after pulling some strings, he manages to land a job at the Sion Artificial Intelligence Corporation. SAI Corp is responsible for the creation of ""Giftias""—highly advanced androids which are almost indiscernible from normal humans. However, unlike humans, Giftias have a maximum lifespan of 81,920 hours, or around nine years and four months. Terminal Service One, the station Tsukasa was assigned to, is responsible for collecting Giftias that have met their expiration date, before they lose their memories and become hostile. Promptly after joining Terminal Service One, Tsukasa is partnered with a beautiful Giftia named Isla. She is a Terminal Service veteran and considered the best in Giftia retrievals, contrary to her petite figure and placid nature. Time is fleeting though, and Tsukasa must come to terms with his feelings for Isla before her time is up. No matter how much someone desires it, nothing lasts forever."
School Rumble,7.94,"Comedy,Romance,School,Shounen",TV,26,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,Manga,23 min. per ep.,PG-13 - Teens 13 or older,"Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight. School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire."
The Story of Saiunkoku,7.94,"Adventure,Comedy,Drama,Fantasy,Historical,Romance",TV,39,"NHK, Sogo Vision",Madhouse,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,"Shuurei Kou, the daughter of a noble yet impoverished family, is a clever young lady who dreams of becoming a government official and contributing toward her country. However, her dream is out of her reach as such a position is forbidden to women. While her father works a low wage job as an archivist at the palace, Shuurei has to juggle odd jobs to make ends meet. Then, one day, an unexpected visit changes her life. Shuurei is called to assist Ryuuki Shi, the new emperor who is known for slacking on his duties and preferring the company of men. Tempted by the generous compensation, she readily accepts the chance to become the young emperor's consort for six months. Luckily, she is not alone as Seiran Shi, her trusty friend, joins her as Ryuuki's bodyguard. While tasked with transforming the new emperor into a responsible ruler, court life and politics prove troublesome as Shuurei faces the challenges of her new life. Set in a fictional country, Saiunkoku Monogatari centers on the idea of meaningful leadership, its adversities and the rewards that come alongside a prospering nation."
The World God Only Knows II,7.94,"Comedy,Harem,Romance,Shounen,Supernatural",TV,12,"TV Tokyo, Geneon Universal Entertainment",Manglobe,Manga,23 min. per ep.,PG-13 - Teens 13 or older,"Keima Katsuragi, the ""God of Conquest,"" returns to his quest of expelling runaway spirits that have possessed the hearts of women. Still stuck in his contract with the demon Elsie, he must continue to utilize the knowledge he has gained from mastering multitudes of dating simulators and chase out the phantoms that reside within by capturing the hearts of that which he hates most: three-dimensional girls. However, the God of Conquest has his work cut out for him. From exorcising karate practitioners and student teachers to the arrival of Elsie's best friend from Hell, he is up against a wide array of girls that will test his wit and may even take him by surprise. Though he would much rather stick to the world of 2D, he is trapped in lousy reality, and so Keima must trudge forward in his conquest of love."
Tiger & Bunny,7.94,"Action,Mystery,Comedy,Super Power",TV,25,"Bandai Visual, Mainichi Broadcasting System, Tohokushinsha Film Corporation",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,"In Stern Bild City, those with special abilities are called ""NEXT,"" and can use their powers for good or bad. A unique organized group of NEXT appear regularly on Hero TV, where they chase down evildoers to bring limelight to their sponsors and earn Hero Points in the hopes of becoming the next ""King of Heroes."" Kotetsu T. Kaburagi, known as ""Wild Tiger,"" is a veteran hero whose performance has been dwindling as of late, partially due to his inability to cooperate with other heroes. After a disappointing season in which most of the other heroes far outperformed Tiger, he is paired up with a brand new hero who identifies himself by his real name—Barnaby Brooks Jr. Barnaby, nicknamed ""Bunny"" by his frivolous new partner, quickly makes it clear that the two could not be more different. Though they mix as well as oil and water, Tiger and Bunny must learn to work together, both for the sake of their careers and to face the looming threats within Stern Bild."
Bloom Into You,7.93,"Romance,School,Shoujo Ai",TV,13,"AT-X, Sony Music Communications, Docomo Anime Store, Kadokawa Media House, Kadokawa",TROYCA,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Yuu Koito has always been entranced with romantic shoujo manga and the lyrics of love songs. She patiently waits for the wings of love to sprout and send her heart aflutter on the day that she finally receives a confession. Yet, when her classmate from junior high declares his love for her during their graduation, she feels unexpectedly hollow. The realization hits her: she understands romance as a concept, but she is incapable of experiencing the feeling first-hand. Now, having enrolled in high school, Yuu, disconcerted and dispirited, is still ruminating over how to respond to her suitor. There, she happens upon the seemingly flawless student council president, Touko Nanami, maturely rejecting a confession of her own. Stirred by Touko's elegant manner, Yuu approaches her for advice, only to be bewildered when the president confesses to her! Yuu quickly finds herself in the palm of Touko's hand, and unknowingly sets herself on a path to find the emotion which has long eluded her."
Cromartie High School,7.93,"Comedy,School,Shounen",TV,26,TV Tokyo Music,Production I.G,Manga,12 min. per ep.,PG-13 - Teens 13 or older,"Takashi Kamiyama is your typical mild-mannered high school student—polite, aloof, and pacifistic, with a slightly above-average IQ. But would your average high school student really enroll himself at the infamous Cromartie High School, known as a breeding ground for the toughest delinquents out there? Apparently so, as that is exactly what Takashi does, though for reasons he'd rather leave unmentioned. However, one thing is for sure: the ""hard-boiled rabbit in a den full of hungry lions"" is never going to have another dull day. And how could he, now that he's surrounded by mohawked punks, obnoxious robots, and... gorillas? And was that Freddie Mercury riding a horse down the corridor? Follow Takashi as he earnestly dedicates his new high school life to better his school's reputation while his classmates are hellbent on wreaking havoc."
Hell Girl:Two Mirrors,7.93,"Mystery,Horror,Psychological,Supernatural",TV,26,"Aniplex, SKY Perfect Well Think",Studio Deen,Original,25 min. per ep.,R - 17+ (violence & profanity),"Enma and her companions continue to offer their service of revenge against those who have wronged others, and the price is as steep as ever—for damning the offender to hell, the person exacting vengeance is sent to the abyss as well. As they cast soul after soul into the darkness, a new sinister force is watching them: a little girl named Kikuri. While Ai continues her duties, she meets a boy named Takuma Kurebayashi, known as the ""Devil's Child"" because of the horrific events that occur around him. Unfortunately, Takuma's reputation leads the townspeople to use him as a scapegoat for those who have been ferried off to hell. When things quickly spiral out of control, Ai must find a way to bring an end to this senseless violence, as it poses a threat to her very existence."
Lupin the Third,7.93,"Action,Adventure,Comedy,Mystery,Seinen",TV,24,TMS Music,"TMS Entertainment, Telecom Animation Film",Manga,25 min. per ep.,PG-13 - Teens 13 or older,"upin is the main character in this series which takes place in Italy and San Marino. Reflecting its setting, the anime debuted in Italy before it aired in Japan. Lupin III fans will note that the titular thief now dons a blue coat, following his earlier appearances in green (first series and some OVAs), red (the second series as well as most films and television specials) and pink (third series). (Source: Crunchyroll)"
Ergo Proxy,7.92,"Psychological,Mystery,Sci-Fi",TV,23,"Geneon Universal Entertainment, WOWOW, Sakura Create",Manglobe,Original,25 min. per ep.,R - 17+ (violence & profanity),"hin the domed city of Romdo lies one of the last human civilizations on Earth. Thousands of years ago, a global ecological catastrophe doomed the planet; now, life outside these domes is virtually impossible. To expedite mankind's recovery, ""AutoReivs,"" humanoid-like robots, have been created to assist people in their day-to-day lives. However, AutoReivs have begun contracting an enigmatic disease called the ""Cogito Virus"" which grants them self-awareness. Re-l Mayer, granddaughter of Romdo's ruler, is assigned to investigate this phenomenon alongside her AutoReiv partner Iggy. But what begins as a routine investigation quickly spirals into a conspiracy as Re-l is confronted by humanity's darkest sins. Elsewhere in Romdo, an AutoReiv specialist by the name of Vincent Law must also face his demons when surreal events begin occurring around him. Re-l, Iggy, Vincent, and the child AutoReiv named Pino, will form an unlikely faction as they struggle to uncover Romdo's mysteries and ultimately, discover the true purpose of the mythical beings called ""Proxies."""
MEGALOBOX,7.92,"Action,Sci-Fi,Slice of Life,Sports,Drama",TV,13,"TBS, Kodansha, Bandai Namco Arts, TMS Music",TMS Entertainment,Original,24 min. per ep.,R - 17+ (violence & profanity),"""To be quiet and do as you're told, that's the cowardly choice."" These are the words of Junk Dog, an underground fighter of Megalo Box, an evolution of boxing that utilizes mechanical limbs known as Gear to enhance the speed and power of its users. Despite the young man's brimming potential as a boxer, the illegal nature of his participation forces him to make a living off of throwing matches as dictated by his boss Gansaku Nanbu. However, this all changes when the Megalo Box champion Yuuri enters his shabby ring under the guise of just another challenger. Taken out in a single round, Junk Dog is left with a challenge: ""If you're serious about fighting me again, then fight your way up to me and my ring."" Filled with overwhelming excitement and backed by the criminal syndicate responsible for his thrown matches, Junk Dog enters Megalonia: a world-spanning tournament that will decide the strongest Megalo Boxer of them all. Having no name of his own, he takes on the moniker of ""Joe"" as he begins his climb from the very bottom of the ranked list of fighters. With only three months left to qualify, Joe must face off against opponents the likes of which he has never fought in order to meet the challenge of his rival."
Mobile Suit Zeta Gundam,7.92,"Military,Sci-Fi,Space,Drama,Romance,Mecha",TV,50,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,"It is Universal Century 0087, and the One Year War between the Earth Federation and Principality of Zeon is over. The Earth Federation has created an elite task force, known as the Titans, who are responsible for hunting the remaining Zeon forces. However, the power-hungry Titans have shown themselves to be no better than Zeon, spurring the creation of a rebellious faction called the Anti-Earth Union Group (AEUG). 17-year-old Kamille Bidan lives in the colony Green Noa, home to a Titan base. Kamille gets in trouble after assaulting a Titan officer, an event that coincides with an attack led by former Zeon ace Char Aznable, now known as AEUG pilot Quattro Bajeena. When Kamille steals a Titan's prototype Gundam, he soon finds himself in the middle of the dangerous conflict."
Sailor Moon Sailor Stars,7.92,"Adventure,Comedy,Drama,Fantasy,Magic,Romance,Shoujo",TV,34,TV Asahi,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"ke the R Season, Sailor Stars is divided into two arcs: The first arc (also filler) solves some conflicts from the SuperS season, and also sees the return of the Outer Senshi, Haruka, Michiru, Setsuna, and Hotaru (now reborn as a child). The second arc is the actual plot from the manga. Usagi bids farewell to Mamoru, who is going to America to study abroad. In his place comes the Three Lights, an idol trio consisting of three boys, Seiya, Taiki, and Yaten. The new enemy is Galaxia, a woman who desires to rule the entire galaxy by collecting the Star Seeds of humans. Three new Senshi appear, the Sailor Starlights, who also intend to stop Galaxia without Sailor Moon's help."
Yuri!!! On ICE,7.92,"Comedy,Sports",TV,12,"Dentsu, TV Asahi, Movic, Avex Pictures, CIC, Cygames",MAPPA,Original,23 min. per ep.,PG-13 - Teens 13 or older,"ling from his crushing defeat at the Grand Prix Finale, Yuuri Katsuki, once Japan's most promising figure skater, returns to his family home to assess his options for the future. At age 23, Yuuri's window for success in skating is closing rapidly, and his love of pork cutlets and aptitude for gaining weight are not helping either. However, Yuuri finds himself in the spotlight when a video of him performing a routine previously executed by five-time world champion, Victor Nikiforov, suddenly goes viral. In fact, Victor himself abruptly appears at Yuuri's house and offers to be his mentor. As one of his biggest fans, Yuuri eagerly accepts, kicking off his journey to make it back onto the world stage. But the competition is fierce, as the rising star from Russia, Yuri Plisetsky, is relentlessly determined to defeat Yuuri and win back Victor's tutelage."
Beelzebub,7.91,"Action,Comedy,Demons,Supernatural,School,Shounen",TV,60,"Studio Pierrot, Dentsu, Yomiuri Telecasting, Shueisha",Pierrot Plus,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Ishiyama High is a school populated entirely by delinquents, where nonstop violence and lawlessness are the norm. However, there is one universally acknowledged rule—don't cross first year student Tatsumi Oga, Ishiyama's most vicious fighter. One day, Oga is by a riverbed when he encounters a man floating down the river. After being retrieved by Oga, the man splits down the middle to reveal a baby, which crawls onto Oga's back and immediately forms an attachment to him. Though he doesn't know it yet, this baby is named Kaiser de Emperana Beelzebub IV, or ""Baby Beel"" for short—the son of the Demon Lord! As if finding the future Lord of the Underworld isn't enough, Oga is also confronted by Hildegard, Beel's demon maid. Together they attempt to raise Baby Beel—although surrounded by juvenile delinquents and demonic powers, the two of them may be in for more of a challenge than they can imagine."
Little Witch Academia,7.91,"Adventure,Comedy,Fantasy,Magic,School",TV,25,"Ultra Super Pictures, TOHO animation, Good Smile Company",Trigger,Original,24 min. per ep.,G - All Ages,"""A believing heart is your magic!""—these were the words that Atsuko ""Akko"" Kagari's idol, the renowned witch Shiny Chariot, said to her during a magic performance years ago. Since then, Akko has lived by these words and aspired to be a witch just like Shiny Chariot, one that can make people smile. Hence, even her non-magical background does not stop her from enrolling in Luna Nova Magical Academy. However, when an excited Akko finally sets off to her new school, the trip there is anything but smooth. After her perilous journey, she befriends the shy Lotte Yansson and the sarcastic Sucy Manbavaran. To her utmost delight, she also discovers Chariot's wand, the Shiny Rod, which she takes as her own. Unfortunately, her time at Luna Nova will prove to more challenging than Akko could ever believe. She absolutely refuses to stay inferior to the rest of her peers, especially to her self-proclaimed rival, the beautiful and gifted Diana Cavendish, so she relies on her determination to compensate for her reckless behavior and ineptitude in magic. In a time when wizardry is on the decline, Little Witch Academia follows the magical escapades of Akko and her friends as they learn the true meaning of being a witch."
Naruto,7.91,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen",TV,220,"TV Tokyo, Aniplex, Shueisha",Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes."
ID:INVADED,7.9,"Mystery,Police,Psychological,Sci-Fi",TV,13,"Toei Animation, BS11, Kadokawa Media House, NTT Plala, Kadokawa, Anima&Co.",NAZ,Original,24 min. per ep.,R - 17+ (violence & profanity),"The Mizuhanome System is a highly advanced development that allows people to enter one of the most intriguing places in existence—the human mind. Through the use of so-called ""cognition particles"" left behind at a crime scene by the perpetrator, detectives from the specialized police squad Kura can manifest a criminal's unconscious mind as a bizarre stream of thoughts in a virtual world. Their task is to explore this psychological plane, called an ""id well,"" to reveal the identity of the culprit. Not just anyone can enter the id wells; the prerequisite is that you must have killed someone yourself. Such is the case for former detective Akihito Narihisago, who is known as ""Sakaido"" inside the id wells. Once a respected member of the police, tragedy struck, and he soon found himself on the other side of the law. Nevertheless, Narihisago continues to assist Kura in confinement. While his prodigious detective skills still prove useful toward investigations, Narihisago discovers that not everything is as it seems, as behind the seemingly standalone series of murder cases lurks a much more sinister truth."
"Sayonara, Zetsubou-Sensei",7.9,"Comedy,Parody,School,Shounen",TV,12,"Starchild Records, Omnibus Japan",Shaft,Manga,24 min. per ep.,R - 17+ (violence & profanity),"Nozomu Itoshiki is a high school teacher so pessimistic that even the smallest of misfortunes can send him into a pit of raging despair; some of these ""catastrophes"" even lead to suicide attempts. Sayonara Zetsubou Sensei is a satirical slice-of-life comedy set in the modern day, covering various aspects of Japanese life and culture through Nozomu and his interactions with his students: Kiri Komori, a recluse who refuses to leave the school; Abiru Kobushi, an enigma who frequently arrives to class with severe and mysterious injuries; the hyper-optimistic Kafuuka Fuura, Nozomu's polar opposite; and several other unusual girls, all of whom are just as eccentric as their teacher."
Tanaka-kun is Always Listless,7.9,"Slice of Life,Comedy,School",TV,12,"Bandai Visual, Dentsu, Frontier Works, Lantis, Shochiku, Mainichi Broadcasting System, Movic, Yahoo! Japan, Grooove",SILVER LINK.,Web manga,24 min. per ep.,PG-13 - Teens 13 or older,"For high school student Tanaka, the act of being listless is a way of life. Known for his inattentiveness and ability to fall asleep anywhere, Tanaka prays that each day will be as uneventful as the last, seeking to preserve his lazy lifestyle however he can by avoiding situations that require him to exert himself. Along with his dependable friend Oota who helps him with tasks he is unable to accomplish, the lethargic teenager constantly deals with events that prevent him from experiencing the quiet and peaceful days he longs for."
the Garden of sinners Chapter 4:The Hollow Shrine,7.9,"Action,Mystery,Supernatural,Thriller",Movie,1,Notes,ufotable,Light novel,46 min.,R - 17+ (violence & profanity),"Following the events of Satsujin Kousatsu (Zen) , Shiki Ryougi has been in a coma for two years due to a traffic accident. When she finally awakens, she has no memories of her past and is plagued by a profound loneliness. Even stranger, she notices dark lines encompassing the things around her, and if she touches them she can disassemble the object—something which completely terrifies her. Her friend, Mikiya Kokutou, enlists the help of Touko Aozaki, a mage who can help Shiki understand what her eyes—the ""Mystic Eyes of Death Perception""—are truly capable of and how to use them properly."
The Prince of Tennis,7.9,"Action,Comedy,Sports,School,Shounen",TV,178,"Production I.G, Nihon Ad Systems",Trans Arts,Manga,22 min. per ep.,PG-13 - Teens 13 or older,"The world of tennis is harsh and highly competitive. Numerous schools from Japan battle it out to determine the best of the best. Seishun Gakuen Junior High School, more commonly known as Seigaku, is one of the most prominent contestants in this battle of the finest. Their team line-up gets even stronger with the sudden arrival of a young prodigy from the West, Ryouma Echizen, who is determined to prove himself and escape the towering shadow of his legendary father. This fine addition changes the team forever. Prince of Tennis follows the heartwarming and inspirational story of Ryouma on his quest to become one of the best tennis players the country has ever seen. He pushes himself hard so that he can one day surpass his father’s name and his own personal expectations. Alongside the rest of the Seigaku team, Ryouma fights to make his and his teammate's dreams come true."
Ponyo,7.89,"Adventure,Fantasy",Movie,1,"Dentsu, d-rights, Toho",Studio Ghibli,Original,1 hr. 41 min.,G - All Ages,"goldfish sneaks away from home and floats off on the back of a jellyfish. After getting stuck in a glass jar, she drifts to the shore where she is freed by Sousuke, a five-year-old boy who lives with his mother Lisa in a house by the sea while his father Koichi works on a fishing boat. After healing a cut on Sousuke's finger by licking it, the goldfish is named Ponyo by her new friend. Unknown to Sousuke, Ponyo already has a name and a family. Her father Fujimoto, a sorcerer who forsook his humanity to live underwater, searches frantically for his daughter Brunhilde. When found and captured, Ponyo rejects her birth name and declares that she wants to become a human. Using the power received from Sousuke's blood, she grows arms and legs and escapes to the surface once more. But the magic released into the ocean causes an imbalance in nature, causing the Moon to start falling out of orbit and the tides to grow dangerously stronger. Reunited with Ponyo, Sousuke must pass an ancient test to restore order in the world and let his companion live on as a human."
Blood Blockade Battlefront & Beyond,7.88,"Action,Comedy,Fantasy,Shounen,Super Power,Supernatural,Vampire",TV,12,"Nihon Ad Systems, Mainichi Broadcasting System, TOHO animation, Shueisha",Bones,Manga,24 min. per ep.,R - 17+ (violence & profanity),"Three years ago, a gateway between Earth and the Beyond opened in New York City, trapping extradimensional creatures and humans alike in an impermeable bubble. After the city's restoration, monsters, magic, and madness are common findings in the area now known as Hellsalem's Lot. Leonardo Watch, a young photographer who unwillingly obtained the ""All-seeing Eyes of the Gods"" in exchange for his sister's eyesight, came to this paranormal city to find answers to the mysterious power that he possesses. He later finds his life drastically changed when he joins Libra, a secret organization of people with supernatural abilities dedicated to maintaining order in the everyday chaos of Hellsalem's Lot. However, this is only the beginning of Leonardo's unexpected journey ahead. Regardless of the constant threat of otherworldly enemies, he is determined to uncover the secrets of his power and find a way to restore his sister's eyesight. Kekkai Sensen & Beyond follows Leonardo as he sets off on more crazy adventures with his comrades, fighting to ensure peace and order."
Hozuki's Coolheadedness 2,7.88,"Comedy,Demons,Fantasy,Seinen,Supernatural",TV,13,"Kodansha, King Records",Studio Deen,Manga,23 min. per ep.,PG-13 - Teens 13 or older,"Just as in this life, the afterlife needs a calm troubleshooter to deal with the bureaucratic headaches that come from keeping things in order. Enter Hozuki: a cool and collected demon who’s badly in need of a vacation. (Source: HIDIVE)"
Soul Eater,7.88,"Action,Fantasy,Comedy,Supernatural,Shounen",TV,51,"TV Tokyo, Aniplex, Dentsu, Media Factory",Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Death City is home to the famous Death Weapon Meister Academy, a technical academy headed by the Shinigami—Lord Death himself. Its mission: to raise ""Death Scythes"" for the Shinigami to wield against the many evils of their fantastical world. These Death Scythes, however, are not made from physical weapons; rather, they are born from human hybrids who have the ability to transform their bodies into Demon Weapons, and only after they have consumed the souls of 99 evil beings and one witch's soul. Soul Eater Evans, a Demon Scythe who only seems to care about what's cool, aims to become a Death Scythe with the help of his straight-laced wielder, or meister, Maka Albarn. The contrasting duo work and study alongside the hot headed Black☆Star and his caring weapon Tsubaki, as well as the Shinigami's own son, Death the Kid, an obsessive-compulsive dual wielder of twin pistols Patty and Liz. Soul Eater follows these students of Shibusen as they take on missions to collect souls and protect the city from the world's threats while working together under the snickering sun to become sounder in mind, body, and soul."
Space Dandy,7.88,"Sci-Fi,Space,Comedy",TV,13,"Bandai Visual, flying DOG, Bandai Namco Entertainment",Bones,Original,24 min. per ep.,PG-13 - Teens 13 or older,"The universe is a mysterious and strange place, full of even stranger and more mysterious aliens. Dandy's job is to hunt down unclassified aliens and register them for a reward. It sounds easy enough, but something weird always seems to happen along the way, like chance meetings with zombies, mystical ramen chefs, and adorable orphans. Hunting down aliens may not be easy, but it's definitely never boring. With the help of his sidekicks, the adorable robot vacuum QT and cat-like alien Meow, and his slightly-used ship the Aloha Oe, Dandy roams the galaxy searching for new alien species. What he usually finds, however, is adventure, danger, and romance, and no two journeys (or universes) are ever the same. This is Space☆Dandy , baby!"
The Eccentric Family,7.88,"Slice of Life,Comedy,Demons,Drama,Fantasy",TV,13,"Bandai Visual, Yomiuri Telecasting, Lantis, Kids Station, Magic Capsule, Good Smile Company",P.A. Works,Novel,24 min. per ep.,PG-13 - Teens 13 or older,"Kyoto has been populated by groups of tanuki and tengu for years, living alongside humans who are oblivious to the existence of these creatures. Yasaburou Shimogamo is the third son of an influential tanuki family who spends his carefree days taking care of an old tengu, observing humans through his ability to shapeshift, and dealing with the mysterious woman named Benten. Behind the peace and tranquility, however, is a painful memory from long ago as Yasaburou's father, head of the tanuki community, was killed and eaten by a group of humans known as the Friday Fellows. Uchouten Kazoku follows the trials and tribulations of the Shimogamo brothers as they struggle to avoid their own grisly demise while coming ever closer to unraveling the truth behind their father's death."
The Melancholy of Haruhi Suzumiya,7.88,"Comedy,Mystery,Parody,School,Sci-Fi,Slice of Life",TV,14,"Lantis, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx",Kyoto Animation,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,"Kyon, your typical high school student, has long given up his belief in the supernatural. However, upon meeting Haruhi Suzumiya, he quickly finds out that it is the supernatural that she is interested in—aliens, time travelers, and espers among other things. When Haruhi laments about the lack of intriguing clubs around school, Kyon inspires Haruhi to form her own club. As a result, the SOS Brigade is formed, a club which specializes in all that is the supernatural. Much to his chagrin, Kyon, along with the silent bookworm, Yuki Nagato, the shy and timid Mikuru Asahina, and the perpetually smiling Itsuki Koizumi, are recruited as members. The story follows the crazy adventures that these four endure under their whimsical leader, Haruhi. The story is based on the light novels by Nagaru Tanigawa."
Gungrave,7.87,"Action,Drama,Sci-Fi,Seinen,Super Power",TV,26,Tohokushinsha Film Corporation,Madhouse,Game,25 min. per ep.,R - 17+ (violence & profanity),"Brandon Heat and Harry MacDowel, two friends so close they could be called brothers, receive an abrupt and violent reminder one fateful day of how appallingly merciless the world around them can be. Their whole lives before then were simple and easygoing, consisting largely of local brawls, seducing women, and committing petty theft to make a living and pass the time. What they failed to realize is that in this cruel world, happiness is fleeting, and change is inevitable. Enter Millennion, the largest and most infamous mafia syndicate in the area, which accepts Brandon and Harry into their ranks and starts them at the bottom of the food chain. Harry has ambitions to ascend the ranks and one day replace Big Daddy as the supreme leader of Millennion, while Brandon only wishes to support his friend and appease Big Daddy who has taken custody of the woman Brandon loves. Based off the third-person shooter video game under the same name, Gungrave is an epic story of friendship, betrayal, and avarice that spans the course of several years, ultimately tying back to the gripping and foreboding first episode, all the while building up to the story's thrilling conclusion."
Kono Oto Tomare!:Sounds of Life,7.87,"Drama,Music,Romance,School,Shounen",TV,13,"WOWOW, Movic, KlockWorx, Memory-Tech, King Records, Shueisha, Pony Canyon Enterprise",Platinum Vision,Manga,23 min. per ep.,PG-13 - Teens 13 or older,"Gen Kudou, a koto maker, believes that his delinquent grandson Chika would never understand the profoundness of the traditional musical instrument. In an attempt to make up for his naivety and understand the words of his late grandfather, Chika tries to join the Tokise High School Koto Club. Even though the club is in dire need of members, new club president Takezou Kurata is unwilling to easily accept Chika's application due to his bad reputation. Nonetheless, after seeing Chika's seriousness and enthusiasm, Takezou allows the problem child to join, along with koto prodigy Satowa Houzuki and three of Chika's energetic friends. Kono Oto Tomare! follows the merry band of musicians as they aspire to play at the national competition."
The Irresponsible Captain Tylor,7.87,"Military,Sci-Fi,Space,Comedy,Parody",TV,26,"VAP, Big West, King Records, Media Rings, TV Setouchi",Tatsunoko Production,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,"Justy Ueki Tylor is an average 20-year-old man: lazy, greedy, and a passionate womanizer. He plans to land an easy job with the United Planets Space Force that pays decently and is also far away from the rigorous combat raging throughout the galaxy. However, Tylor's dreams of living a simple life are brought to a sudden halt when he stumbles into a dangerous hostage situation. Through one strange mishap after another, Tylor miraculously manages to save the hostages and is awarded command of the decrepit space-cruiser Soyokaze! Now Tylor finds himself in charge of sending mad mercenaries, proud pilots, skeptical colleagues, and harsh commanders through the infinite expanse of the universe, all the while avoiding the looming threat of the Holy Raalgon Empire. What misadventures await the irresponsible Captain Tylor?"
Wagnaria!!2,7.87,"Comedy,Romance,Seinen,Slice of Life",TV,13,"Aniplex, Yomiuri Telecasting, Rakuonsha",A-1 Pictures,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,"The exciting antics of Wagnaria return as more ridiculous incidents occur, friendships are deepened, and new feelings are discovered. In addition to Souta Takanashi and his wacky co-workers, more eccentric personalities join the family restaurant: Haruna, Hyougo Otoo's missing wife, who has a habit of getting hopelessly lost through the sewer system; Kirio Yamada, Aoi's older brother, who is able to withstand Mahiru Inami's deadly punches; and twins Youhei and Mitsuki Mashiba, Kyouko Shirafuji's juniors who do not get along. Absurdity, romance, and hilarity are all on the menu for the Wagnaria family restaurant!"
Dusk Maiden of Amnesia,7.86,"Horror,Mystery,Romance,School,Shounen,Supernatural",TV,12,"Square Enix, Media Factory",SILVER LINK.,Manga,23 min. per ep.,R - 17+ (violence & profanity),"Seikyou Private Academy, built on the intrigue of traditional occult myths, bears a dark past—for 60 years, it has been haunted by a ghost known as Yuuko, a young woman who mysteriously died in the basement of the old school building. With no memory of her life or death, Yuuko discreetly finds and heads the Paranormal Investigations Club in search of answers. A chance meeting leads Yuuko to cling to diligent freshman Teiichi Niiya, who can see the quirky ghost, they quickly grow close, and he decides to help her. Along with Kirie Kanoe, Yuuko's relative, and the oblivious second year Momoe Okonogi, they delve deep into the infamous Seven Mysteries of the storied school. Tasogare Otome x Amnesia tells a unique tale of students who work together to shed light on their school's paranormal happenings, all the while inching closer to the truth behind Yuuko's death."
